Creare client,2022-05-24 18:16:37
Creare cont pentru client,2022-05-24 18:17:05
Adaugare tranzactie la cont,2022-05-24 18:18:21
Inchidere cont client,2022-05-24 18:19:07
Afisare date client,2022-05-24 18:19:43
